InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C8H17/c1-6(2)8(5)7(3)4/h6-8H,5H2,1-4H3                     	[CH2]C(C(C)C)C(C)C      	234TMP7J	234TMP7J     	C8H17   	15      	C/C/H3,C/C3/H,AG,RG2,P,P/BETA                                                                                       	5,3,2,2,1,2                      	162     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/CH4O2/c1-3-2/h2H,1H3                                       	COO                     	CH3OOH  	CH3O2H      	CH4O2   	3       	C/H3/OO,OO/ME/H,OI                                                                                                  	1,1,1                            	3       	2     	no  	no          	1 	4 	2 	0 	no
InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3                                	CCOO                    	C2H5O2H 	C2H5O2H      	C2H6O2  	5       	C/C/H3,C/C/H2/OO,OO/CP/H,GA/OH,OI                                                                                   	1,1,1,1,1                       	3       	3     	no  	no          	2 	6 	2 	0 	no
InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3                            	CCCOO                   	NC3H7O2H	NC3H7O2H     	C3H8O2  	7       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI                                                                    	1,1,1,1,1,1,1                   	3       	4     	no  	no          	3 	8 	2 	0 	no
InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3                              	OOC(C)C                 	IC3H7O2H	IC3H7O2H     	C3H8O2  	6       	C/C/H3,C/C2/H/OO,OO/CS/H,GA/OH,OI                                                                                   	2,1,1,1,1                       	9       	4     	no  	no          	3 	8 	2 	0 	no
InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3                         	CCCCOO                  	NBT1O2H 	PC4H9O2H     	C4H10O2 	8       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI                                                                    	1,2,1,1,1,1,1                   	3       	5     	no  	no          	4 	10	2 	0 	no
InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3                       	CC(OO)CC                	NBT2O2H 	NBT2O2H     	C4H10O2 	9       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,OI                                                                    	2,1,1,1,1,1,2                   	9       	5     	no  	no          	4 	10	2 	0 	no
InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3                       	OOCC(C)C                	IBT1O2H 	IBT1O2H     	C4H10O2 	8       	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI                                                                     	2,1,1,1,1,1,1                   	9       	5     	no  	no          	4 	10	2 	0 	no
InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3                             	OOC(C)(C)C              	IBT2O2H 	IBT2O2H     	C4H10O2 	8       	C/C/H3,C/C3/OO,OO/CT/H,GA/OH,OI                                                                                     	3,1,1,2,1                       	81      	5     	no  	no          	4 	10	2 	0 	no
InChI=1S/C5H12O2/c1-2-3-4-5-7-6/h6H,2-5H2,1H3                       	CCCCCOO                 	NPT1O2H 	C5H11O2H-1   	C5H12O2 	9       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI                                                                    	1,3,1,1,1,1,1                   	3       	6     	no  	no          	5 	12	2 	0 	no
